Transaction_ID,SKU_ID,SKU_Amount,SKU_Summ,SKU_Summ_Paid,SKU_Summ_Discount
T001,101,2,25.50,25.50,0.00
T002,102,1,10.99,10.99,0.00
T003,103,3,45.75,45.00,0.75
T004,104,1,12.99,12.99,0.00
T005,105,2,30.00,30.00,0.00
T006,106,1,67.80,67.80,0.00
T007,107,4,95.00,90.00,5.00
T008,108,2,42.60,42.60,0.00
T009,109,1,55.40,55.40,0.00
T010,110,3,18.75,18.75,0.00
T011,111,1,63.90,63.90,0.00
T012,112,2,30.15,30.15,0.00
T013,113,3,48.75,48.75,0.00
T014,114,1,75.20,75.20,0.00
T015,115,2,27.50,27.50,0.00
T016,116,1,39.80,39.80,0.00
T017,117,4,56.25,56.25,0.00
T018,118,1,21.40,21.40,0.00
T019,119,2,44.60,44.60,0.00
T020,120,1,12.99,12.99,0.00
